experiment_id,ms_id,time,met_id,labelled_atom_ids,unlabelled_atoms,intensity,intensity_std_error,mass_isotope,measurement_replicate
simulation1,Histidine440,inf,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,0.34402279358936655 0.34992259169662243 0.19499446198237463 0.07540646395175912,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation1,Isoleucine274,inf,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,0.47019678005042015 0.34221160243435866 0.14144779286171838 0.03531224499121728,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation1,Leucine274,inf,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,0.5123749998238579 0.31544776841304345 0.1189947414074729 0.03439827391053653 0.009052540425694198,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation1,Methionine320,inf,MET,"[2, 3, 4, 5]",C6H24NSiS,0.4714961400975149 0.3382194496020516 0.13641150314367115 0.04013348453744287,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation1,Phenylalanine302,inf,PHE,"[1, 2]",C12H32O2NSi2,0.5522589393931444 0.3140424383804515 0.09840391201400964,0.003 0.003 0.003,0 1 2,1
simulation1,Phenylalanine308,inf,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,0.4468140691895601 0.33990898998851304 0.15184901476615342 0.04612528568946865 0.011372873719532058,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation1,Phenylalanine336,inf,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,0.347514615145751 0.3729264036843975 0.19792474232510035 0.0653873988793064,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation1,Serine362,inf,SER,"[2, 3]",C14H40O2NSi3,0.5300409504248288 0.2941719753298648 0.12425315897590088,0.003 0.003 0.003,0 1 2,1
simulation1,Serine390,inf,SER,"[1, 2, 3]",C14H40O3NSi3,0.46726083207981484 0.31919372051139283 0.1472963537569119,0.003 0.003 0.003,0 1 2,1
simulation1,Threonine376,inf,THR,"[2, 3, 4]",C14H42O2NSi3,0.4689196333755208 0.32622153343825483 0.142347431617456,0.003 0.003 0.003,0 1 2,1
simulation1,Threonine404,inf,THR,"[1, 2, 3, 4]",C14H42O3NSi3,0.3782688759106799 0.3547088935426114 0.17835345182228268 0.06804078018401379,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation1,Valine260,inf,VAL,"[2, 3, 4, 5]",C8H30ONSi2,0.5868204192167622 0.28758384773139195 0.1027923400320863 0.009343816516398512,0.003 0.003 0.003 0.003,0 1 2 4,1
simulation1,Valine288,inf,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,0.3823112788741505 0.3952020685486363 0.16573267890025856 0.04498496765459899 0.006669982815334043 0.006235345511841756,0.003 0.003 0.003 0.003 0.003 0.003,0 1 2 3 4 5,1
simulation2,Alanine232,inf,ALA,"[2, 3]",C8H26ONSi2,0.46607661297907155 0.38697148546529686 0.10727692460090439,0.003 0.003 0.003,0 1 2,1
simulation2,Alanine260,inf,ALA,"[1, 2, 3]",C8H26O2NSi2,0.4248120210757067 0.4099919718695718 0.12500365188191592 0.03569632938408362,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation2,Asparticacid302,inf,ASP,"[1, 2]",C12H32O2NSi2,0.5032877974804912 0.3437977929364624 0.11277671318803349,0.003 0.003 0.003,0 1 2,1
simulation2,Asparticacid390,inf,ASP,"[2, 3, 4]",C14H40O3NSi3,0.4023000485789229 0.3589178067094211 0.16721779624434732 0.05841920568058641,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation2,Asparticacid418,inf,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,0.35575869476983 0.3668384885663601 0.1852451910478897 0.07226801406439362 0.022111330579684965,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation2,Glutamicacid330,inf,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,0.34840532567557386 0.3862776203209107 0.18442323155962365 0.05847066147481322 0.015016001409767436,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation2,Glutamicacid432,inf,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,0.26445663131605496 0.36909353938012257 0.23446143946789666 0.10031006336135542 0.029885114198016552,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation2,Glycine218,inf,GL,[2],C8H24ONSi2,0.6076128234124231 0.2900089866116272,0.003 0.003,0 1,1
simulation2,Glycine246,inf,GL,"[1, 2]",C8H24O2NSi2,0.5321250264217657 0.3293529162376552 0.09810570239702637,0.003 0.003 0.003,0 1 2,1
simulation2,Histidine338,inf,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,0.45941473577913217 0.343045846048579 0.13446019957635522 0.04011691035784623 0.008324379477098237 -3.241634726164496e-05,0.003 0.003 0.003 0.003 0.003 0.003,0 1 2 3 4 5,1
simulation2,Histidine440,inf,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,0.4051430012935024 0.3397884968860931 0.17012174556410292 0.056081662705834416,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation2,Isoleucine274,inf,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,0.28597848897870753 0.4000095315239838 0.21714273325623196 0.07847539497755031,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation2,Leucine274,inf,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,0.25785278770722647 0.4052279505357683 0.23644798561301872 0.07750820789539899 0.01864129682539067,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation2,Methionine320,inf,MET,"[2, 3, 4, 5]",C6H24NSiS,0.4765126640522473 0.35324917655129495 0.12098235920677512 0.03218946619509488,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation2,Phenylalanine302,inf,PHE,"[1, 2]",C12H32O2NSi2,0.4943724452757894 0.3513084739715324 0.11390425266384083,0.003 0.003 0.003,0 1 2,1
simulation2,Phenylalanine308,inf,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,0.2957174987545119 0.3800680883256278 0.2134920370861455 0.08210004250135472 0.024848026216763422,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation2,Phenylalanine336,inf,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,0.2741767872438259 0.37263104298806565 0.22518479118565068 0.08773568242804078,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation2,Serine362,inf,SER,"[2, 3]",C14H40O2NSi3,0.50626957446557 0.31323414535441735 0.12833535800617607,0.003 0.003 0.003,0 1 2,1
simulation2,Serine390,inf,SER,"[1, 2, 3]",C14H40O3NSi3,0.47916848686670127 0.31545874971794374 0.14142783711496343,0.003 0.003 0.003,0 1 2,1
simulation2,Threonine376,inf,THR,"[2, 3, 4]",C14H42O2NSi3,0.3971053169757661 0.35441265682166956 0.16441803525241933,0.003 0.003 0.003,0 1 2,1
simulation2,Threonine404,inf,THR,"[1, 2, 3, 4]",C14H42O3NSi3,0.35319661601472846 0.36233713848529825 0.1851417097562228 0.06695820159445542,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation2,Valine260,inf,VAL,"[2, 3, 4, 5]",C8H30ONSi2,0.2817832182479697 0.41523937009915335 0.21573873347742456 0.012949790764378582,0.003 0.003 0.003 0.003,0 1 2 4,1
simulation2,Valine288,inf,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,0.2573260520973007 0.40851600848537356 0.23506706457068913 0.07552376045152942 0.013254545665127841 0.001410369194473285,0.003 0.003 0.003 0.003 0.003 0.003,0 1 2 3 4 5,1
simulation6,Alanine232,inf,ALA,"[2, 3]",C8H26ONSi2,0.6686799658598427 0.2344399037445067 0.07023834655961769,0.003 0.003 0.003,0 1 2,1
simulation6,Alanine260,inf,ALA,"[1, 2, 3]",C8H26O2NSi2,0.6132095964189097 0.26328700082512757 0.09739793583693451 0.021926796686217005,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation6,Asparticacid302,inf,ASP,"[1, 2]",C12H32O2NSi2,0.6452354749346285 0.2485323545036603 0.09164333308476166,0.003 0.003 0.003,0 1 2,1
simulation6,Asparticacid390,inf,ASP,"[2, 3, 4]",C14H40O3NSi3,0.4868120754216408 0.3128201905898578 0.13625420421724754 0.04110711260908162,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation6,Asparticacid418,inf,ASP,"[1, 2, 3, 4]",C14H40O4NSi3,0.44461055174081654 0.3332294122395684 0.15337627476955898 0.05068404833018882 0.010998979104826249,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation6,Glutamicacid330,inf,GLU,"[2, 3, 4, 5]",C12H36O2NSi2,0.4959229374247589 0.333659414108711 0.12736841887098196 0.03357322835932651 0.0029008445605966868,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation6,Glutamicacid432,inf,GLU,"[1, 2, 3, 4, 5]",C14H42O4NSi3,0.4026216432559007 0.34332929440843224 0.16256150350040696 0.0610603556268001 0.01790335242338807,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation6,Glycine218,inf,GL,[2],C8H24ONSi2,0.7326160140002909 0.18444084656417822,0.003 0.003,0 1,1
simulation6,Glycine246,inf,GL,"[1, 2]",C8H24O2NSi2,0.6817982869011356 0.22048776294863648 0.07766651189357086,0.003 0.003 0.003,0 1 2,1
simulation6,Histidine338,inf,HIS,"[2, 3, 4, 5, 6]",C12H36N3Si2,0.46564533397034846 0.35880469924029545 0.12921140833854097 0.044230790814418115 0.0065741177326745625 -0.004908757137376417,0.003 0.003 0.003 0.003 0.003 0.003,0 1 2 3 4 5,1
simulation6,Histidine440,inf,HIS,"[1, 2, 3, 4, 5, 6]",C14H42O2N3Si3,0.20180825404990252 0.3909319948624197 0.2652886681965606 0.1034658094233352,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation6,Isoleucine274,inf,ILE,"[2, 3, 4, 5, 6]",C8H32ONSi2,0.4920080771373901 0.3317174810098633 0.12936298594968426 0.03458330982059947,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation6,Leucine274,inf,LEU,"[2, 3, 4, 5, 6]",C8H32ONSi2,0.5198270166761102 0.31910516867458916 0.11911257486629477 0.031008547754238953 0.00825776468410026,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation6,Methionine320,inf,MET,"[2, 3, 4, 5]",C6H24NSiS,0.4292146593025433 0.3695947307776318 0.14716234938106829 0.05180829258417712,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation6,Phenylalanine302,inf,PHE,"[1, 2]",C12H32O2NSi2,0.6672639721300629 0.2362942506283914 0.09119339234870724,0.003 0.003 0.003,0 1 2,1
simulation6,Phenylalanine308,inf,PHE,"[2, 3, 4, 5, 6, 7, 8, 9]",C8H30ONSi2,0.1711598396963055 0.4167675455245857 0.27573037311961873 0.10042994212718892 0.0307930072045923,0.003 0.003 0.003 0.003 0.003,0 1 2 3 4,1
simulation6,Phenylalanine336,inf,PHE,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",C8H30O2NSi2,0.15523318324734767 0.39580031770336294 0.2853045300525124 0.11151075399127645,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation6,Serine362,inf,SER,"[2, 3]",C14H40O2NSi3,0.46285643345874716 0.34091751557346245 0.13462004952969844,0.003 0.003 0.003,0 1 2,1
simulation6,Serine390,inf,SER,"[1, 2, 3]",C14H40O3NSi3,0.43586051402948156 0.3571351455259198 0.14190052898578748,0.003 0.003 0.003,0 1 2,1
simulation6,Threonine376,inf,THR,"[2, 3, 4]",C14H42O2NSi3,0.4814193715349341 0.317914025776736 0.13526808788104816,0.003 0.003 0.003,0 1 2,1
simulation6,Threonine404,inf,THR,"[1, 2, 3, 4]",C14H42O3NSi3,0.4455356143312016 0.3334343725364427 0.1525968503743019 0.052978559995596725,0.003 0.003 0.003 0.003,0 1 2 3,1
simulation6,Valine260,inf,VAL,"[2, 3, 4, 5]",C8H30ONSi2,0.5814161635227904 0.2943997808254748 0.10513497832212515 0.00625867351229897,0.003 0.003 0.003 0.003,0 1 2 4,1
simulation6,Valine288,inf,VAL,"[1, 2, 3, 4, 5]",C8H30O2NSi2,0.5312240746879859 0.31138254215324823 0.11711878517850534 0.029089826820629123 0.006287406477902551 -0.0003842525943462368,0.003 0.003 0.003 0.003 0.003 0.003,0 1 2 3 4 5,1
